Measure,Metric,Risk,Cause,Location,Age,Sex,Year,Value,Upper,Lower
Deaths,Rate,Air pollution,All causes,Luxembourg,Age-standardized,Both sexes,2019,9.57,12.98,6.35
Deaths,Number,Air pollution,All causes,Hungary,All ages,Both sexes,2019,8616.98,10991.93,6407.87
Deaths,Rate,Air pollution,All causes,Hungary,All ages,Both sexes,2019,89.07,113.62,66.24
Deaths,Rate,Air pollution,All causes,Hungary,Age-standardized,Both sexes,2019,43.76,55.84,32.61
Deaths,Number,Air pollution,All causes,Serbia,All ages,Both sexes,2019,12667.57,16139.04,9945.67
Deaths,Rate,Air pollution,All causes,Serbia,All ages,Both sexes,2019,144.83,184.51,113.71
Deaths,Number,Air pollution,All causes,Slovenia,All ages,Both sexes,2019,939.99,1279.24,684.78
Deaths,Number,Air pollution,All causes,Montenegro,All ages,Both sexes,2019,737.86,933.40,556.91
Deaths,Rate,Air pollution,All causes,Montenegro,All ages,Both sexes,2019,118.95,150.47,89.78
Deaths,Rate,Air pollution,All causes,Slovenia,All ages,Both sexes,2019,45.32,61.67,33.01
Deaths,Rate,Air pollution,All causes,Slovenia,Age-standardized,Both sexes,2019,19.90,27.00,14.37
Deaths,Number,Air pollution,All causes,Portugal,All ages,Both sexes,2019,2410.80,3517.15,1447.88
Deaths,Rate,Air pollution,All causes,Serbia,Age-standardized,Both sexes,2019,82.93,104.99,65.34
Deaths,Number,Air pollution,All causes,Austria,All ages,Both sexes,2019,2654.94,3351.27,1993.60
Deaths,Rate,Air pollution,All causes,Austria,All ages,Both sexes,2019,29.78,37.59,22.36
Deaths,Rate,Air pollution,All causes,Croatia,Age-standardized,Both sexes,2019,36.94,47.42,27.78
Deaths,Number,Air pollution,All causes,Romania,All ages,Both sexes,2019,17138.23,22522.45,12848.81
Deaths,Rate,Air pollution,All causes,Romania,All ages,Both sexes,2019,89.09,117.08,66.79
Deaths,Rate,Air pollution,All causes,Montenegro,Age-standardized,Both sexes,2019,77.63,98.00,58.87
Deaths,Number,Air pollution,All causes,Belarus,All ages,Both sexes,2019,8569.64,11845.00,5980.11
Deaths,Rate,Air pollution,All causes,Belarus,All ages,Both sexes,2019,90.20,124.67,62.94
Deaths,Number,Air pollution,All causes,Netherlands,All ages,Both sexes,2019,4969.91,6375.06,3599.61
Deaths,Rate,Air pollution,All causes,Netherlands,All ages,Both sexes,2019,28.97,37.16,20.98
Deaths,Rate,Air pollution,All causes,Belarus,Age-standardized,Both sexes,2019,53.39,73.65,37.24
Deaths,Number,Air pollution,All causes,Sweden,All ages,Both sexes,2019,758.17,1443.99,233.67
Deaths,Rate,Air pollution,All causes,Sweden,All ages,Both sexes,2019,7.42,14.13,2.29
Deaths,Rate,Air pollution,All causes,Netherlands,Age-standardized,Both sexes,2019,13.86,17.74,10.12
Deaths,Number,Air pollution,All causes,Italy,All ages,Both sexes,2019,27902.06,33912.01,21901.36
Deaths,Rate,Air pollution,All causes,Italy,All ages,Both sexes,2019,46.26,56.23,36.31
Deaths,Rate,Air pollution,All causes,Portugal,All ages,Both sexes,2019,22.63,33.02,13.59
Deaths,Rate,Air pollution,All causes,Greece,Age-standardized,Both sexes,2019,23.13,28.33,17.75
Deaths,Rate,Air pollution,All causes,Portugal,Age-standardized,Both sexes,2019,8.81,12.77,5.32
Deaths,Number,Air pollution,All causes,San Marino,All ages,Both sexes,2019,6.64,11.32,3.01
Deaths,Rate,Air pollution,All causes,San Marino,All ages,Both sexes,2019,20.06,34.20,9.08
Deaths,Rate,Air pollution,All causes,San Marino,Age-standardized,Both sexes,2019,9.19,15.75,4.16
Deaths,Number,Air pollution,All causes,North Macedonia,All ages,Both sexes,2019,3301.39,4158.96,2585.12
Deaths,Rate,Air pollution,All causes,North Macedonia,All ages,Both sexes,2019,153.36,193.19,120.09
Deaths,Rate,Air pollution,All causes,North Macedonia,Age-standardized,Both sexes,2019,118.42,147.48,94.60
Deaths,Number,Air pollution,All causes,Ireland,All ages,Both sexes,2019,552.47,843.64,286.92
Deaths,Rate,Air pollution,All causes,Ireland,All ages,Both sexes,2019,11.25,17.18,5.84
Deaths,Rate,Air pollution,All causes,Ireland,Age-standardized,Both sexes,2019,7.24,10.98,3.78
Deaths,Number,Air pollution,All causes,United Kingdom,All ages,Both sexes,2019,15026.21,20445.10,9963.29
Deaths,Rate,Air pollution,All causes,United Kingdom,All ages,Both sexes,2019,22.35,30.41,14.82
Deaths,Number,Air pollution,All causes,Malta,All ages,Both sexes,2019,161.80,206.33,119.37
Deaths,Rate,Air pollution,All causes,Malta,All ages,Both sexes,2019,36.84,46.98,27.18
Deaths,Rate,Air pollution,All causes,Italy,Age-standardized,Both sexes,2019,16.50,20.01,13.10
Deaths,Number,Air pollution,All causes,Slovakia,All ages,Both sexes,2019,3573.43,4587.27,2660.68
Deaths,Rate,Air pollution,All causes,Slovakia,All ages,Both sexes,2019,65.72,84.37,48.93
Deaths,Rate,Air pollution,All causes,Slovakia,Age-standardized,Both sexes,2019,39.42,50.66,29.44
Deaths,Rate,Air pollution,All causes,Czechia,All ages,Both sexes,2019,62.07,78.87,47.35
Deaths,Rate,Air pollution,All causes,Czechia,Age-standardized,Both sexes,2019,30.40,38.58,23.15
Deaths,Rate,Air pollution,All causes,Romania,Age-standardized,Both sexes,2019,45.28,59.40,34.05
Deaths,Number,Air pollution,All causes,Andorra,All ages,Both sexes,2019,13.51,20.49,7.75
Deaths,Rate,Air pollution,All causes,Andorra,All ages,Both sexes,2019,16.26,24.67,9.33
Deaths,Number,Air pollution,All causes,Estonia,All ages,Both sexes,2019,206.77,390.58,71.38
Deaths,Rate,Air pollution,All causes,Estonia,All ages,Both sexes,2019,15.76,29.76,5.44
Deaths,Rate,Air pollution,All causes,Andorra,Age-standardized,Both sexes,2019,9.06,13.87,5.22
Deaths,Number,Air pollution,All causes,Belgium,All ages,Both sexes,2019,3786.87,4815.71,2818.79
Deaths,Rate,Air pollution,All causes,Iceland,All ages,Both sexes,2019,5.44,10.57,1.55
Deaths,Rate,Air pollution,All causes,Iceland,Age-standardized,Both sexes,2019,3.14,6.05,0.90
Deaths,Rate,Air pollution,All causes,Malta,Age-standardized,Both sexes,2019,16.71,21.06,12.33
Deaths,Number,Air pollution,All causes,Norway,All ages,Both sexes,2019,454.02,769.10,185.17
Deaths,Rate,Air pollution,All causes,Norway,All ages,Both sexes,2019,8.49,14.38,3.46
Deaths,Rate,Air pollution,All causes,Norway,Age-standardized,Both sexes,2019,4.35,7.31,1.82
Deaths,Rate,Air pollution,All causes,Cyprus,Age-standardized,Both sexes,2019,26.08,33.18,20.03
Deaths,Rate,Air pollution,All causes,Austria,Age-standardized,Both sexes,2019,13.53,17.02,10.16
Deaths,Number,Air pollution,All causes,Poland,All ages,Both sexes,2019,31119.24,38011.95,24789.69
Deaths,Rate,Air pollution,All causes,Poland,All ages,Both sexes,2019,80.97,98.90,64.50
Deaths,Rate,Air pollution,All causes,Poland,Age-standardized,Both sexes,2019,43.38,53.21,34.48
Deaths,Number,Air pollution,All causes,Switzerland,All ages,Both sexes,2019,1607.59,2151.99,1099.85
Deaths,Rate,Air pollution,All causes,Switzerland,All ages,Both sexes,2019,18.32,24.52,12.53
Deaths,Rate,Air pollution,All causes,Switzerland,Age-standardized,Both sexes,2019,8.17,10.83,5.66
Deaths,Number,Air pollution,All causes,Spain,All ages,Both sexes,2019,11785.01,15809.38,8032.21
Deaths,Rate,Air pollution,All causes,Spain,All ages,Both sexes,2019,25.61,34.35,17.45
Deaths,Rate,Air pollution,All causes,Spain,Age-standardized,Both sexes,2019,10.37,13.82,7.16
Deaths,Number,Air pollution,All causes,Republic of Moldova,All ages,Both sexes,2019,2419.33,3430.07,1437.27
Deaths,Rate,Air pollution,All causes,Republic of Moldova,All ages,Both sexes,2019,65.60,93.00,38.97
Deaths,Number,Air pollution,All causes,Latvia,All ages,Both sexes,2019,1233.65,1749.65,846.78
Deaths,Rate,Air pollution,All causes,Latvia,All ages,Both sexes,2019,64.41,91.35,44.21
Deaths,Number,Air pollution,All causes,Ukraine,All ages,Both sexes,2019,46129.14,65429.99,29065.59
Deaths,Rate,Air pollution,All causes,Ukraine,All ages,Both sexes,2019,104.74,148.56,65.99
Deaths,Rate,Air pollution,All causes,Latvia,Age-standardized,Both sexes,2019,29.07,41.11,20.06
Deaths,Rate,Air pollution,All causes,Sweden,Age-standardized,Both sexes,2019,3.23,6.07,1.04
Deaths,Number,Air pollution,All causes,Denmark,All ages,Both sexes,2019,1466.57,2051.41,935.68
Deaths,Rate,Air pollution,All causes,Denmark,All ages,Both sexes,2019,25.27,35.35,16.12
Deaths,Rate,Air pollution,All causes,Belgium,All ages,Both sexes,2019,33.16,42.17,24.68
Deaths,Rate,Air pollution,All causes,Denmark,Age-standardized,Both sexes,2019,12.02,16.74,7.66
Deaths,Rate,Air pollution,All causes,United Kingdom,Age-standardized,Both sexes,2019,11.19,15.16,7.47
Deaths,Rate,Air pollution,All causes,Belgium,Age-standardized,Both sexes,2019,14.89,18.82,11.14
Deaths,Number,Air pollution,All causes,Lithuania,All ages,Both sexes,2019,1340.27,1908.67,862.03
Deaths,Rate,Air pollution,All causes,Lithuania,All ages,Both sexes,2019,47.97,68.31,30.85
Deaths,Rate,Air pollution,All causes,Lithuania,Age-standardized,Both sexes,2019,21.84,30.98,14.09
Deaths,Rate,Air pollution,All causes,Estonia,Age-standardized,Both sexes,2019,7.29,13.66,2.51
Deaths,Number,Air pollution,All causes,Albania,All ages,Both sexes,2019,2276.27,3066.89,1639.78
Deaths,Rate,Air pollution,All causes,Albania,All ages,Both sexes,2019,83.68,112.74,60.28
Deaths,Number,Air pollution,All causes,Cyprus,All ages,Both sexes,2019,457.99,585.24,351.33
Deaths,Rate,Air pollution,All causes,Cyprus,All ages,Both sexes,2019,34.87,44.56,26.75
Deaths,Number,Air pollution,All causes,Finland,All ages,Both sexes,2019,416.63,831.45,95.58
Deaths,Rate,Air pollution,All causes,Finland,All ages,Both sexes,2019,7.53,15.02,1.73
DALYs,Number,Air pollution,All causes,France,All ages,Both sexes,1990,479060.78,759435.63,233995.63
DALYs,Rate,Air pollution,All causes,France,All ages,Both sexes,1990,829.26,1314.59,405.05
DALYs,Number,Air pollution,All causes,Serbia,All ages,Both sexes,1990,406517.48,475558.22,325464.42
DALYs,Rate,Air pollution,All causes,Serbia,All ages,Both sexes,1990,4325.82,5060.49,3463.32
DALYs,Number,Air pollution,All causes,Croatia,All ages,Both sexes,1990,130946.57,179436.76,83449.07
DALYs,Rate,Air pollution,All causes,Croatia,All ages,Both sexes,1990,2672.04,3661.51,1702.82
DALYs,Number,Air pollution,All causes,Luxembourg,All ages,Both sexes,1990,4576.14,7673.99,1960.30
DALYs,Rate,Air pollution,All causes,Luxembourg,All ages,Both sexes,1990,1200.27,2012.80,514.17
DALYs,Number,Air pollution,All causes,Lithuania,All ages,Both sexes,1990,69384.68,103878.62,37077.21
DALYs,Rate,Air pollution,All causes,Lithuania,All ages,Both sexes,1990,1888.77,2827.75,1009.30
DALYs,Rate,Air pollution,All causes,Lithuania,Age-standardized,Both sexes,1990,1588.86,2366.15,841.75
DALYs,Rate,Air pollution,All causes,Luxembourg,Age-standardized,Both sexes,1990,878.49,1456.24,389.36
DALYs,Number,Air pollution,All causes,Hungary,All ages,Both sexes,1990,399118.40,520961.88,278280.31
DALYs,Rate,Air pollution,All causes,Hungary,All ages,Both sexes,1990,3840.39,5012.80,2677.67
DALYs,Rate,Air pollution,All causes,Hungary,Age-standardized,Both sexes,1990,2953.30,3806.18,2083.02
